serial,ad_name,ad_set_name,amount_spent,max_roas,scroll_stop_(%),hook_rate_(%),hold_rate_(%),frequency,reach,results,result_rate_(%),cpr,cpc,ctr
1735,ad_id_1089,ad_set_018,71.1,1.62,45.34,35.3,16,1.06,5672,3,5.01,23.7,0.46,2.6
1737,ad_id_280,ad_set_018,52.87,0.72,48.85,31.15,15.22,1.03,3927,2,4.92,26.44,0.53,2.44
1742,ad_id_808,ad_set_099,55.49,1.28,44.47,36.38,16.18,1.08,2971,2,6.25,27.75,0.42,4.15
1744,ad_id_1744,ad_set_106,56.08,1.27,44.92,36.99,16.61,1.02,3154,2,6.23,28.04,0.39,4.52
1750,ad_id_891,ad_set_075,188.44,1.06,52.35,34.39,18.01,1.1,13061,9,6.29,20.94,0.47,2.77
1761,ad_id_143,ad_set_034,93.57,1.03,43.87,31.4,13.78,1.12,5763,4,6.21,23.39,0.39,3.75
1765,ad_id_1348,ad_set_094,14.76,1.78,59.24,32.51,19.26,1.09,1066,2,17.27,7.38,0.45,2.85
1770,ad_id_322,ad_set_081,21.16,2.13,43.82,27.43,12.02,1.03,1420,1,6.87,21.16,0.73,1.99
1772,ad_id_1779,ad_set_086,37.68,1.4,48.4,25.75,12.46,1.02,2301,2,8.54,18.84,0.8,2.01
1774,ad_id_1328,ad_set_069,55.11,1.66,41.02,30.29,12.42,1.09,3455,3,7.98,18.37,0.5,2.95
1775,ad_id_1449,ad_set_101,28.38,2.31,49.44,26.05,12.88,1.01,1675,3,17.8,9.46,0.89,1.9
1780,ad_id_1357,ad_set_068,33.28,0.53,47.42,25.13,11.91,1.01,2060,3,14.35,11.09,0.9,1.77
1783,ad_id_62,ad_set_106,21.48,1.46,54.66,28.53,15.6,1.03,1336,1,7.29,21.48,0.67,2.33
